Tbx2
Ngfr
Axin2
Sdhd
Hddc2
Cdh1
Mcts1
Ndufa9
Zfp385a
Itga5
Atp5f1
Sox9
Hk2
Sez6
Serpinf1
Col6a1
Pcnt
Snrnp27
Dpp9
Gabrg1
Zmat2
Mef2d
Col18a1
Cyp51
Col1a1
Jup
Eef1e1
Chordc1
Sept7
Nup214
Cpa3
Ltbp1
Ssr4
Bcap31
Kmt2a
Psmc3
Peg3
Gmpr2
Ndufa11
Use1
Snrpd1
Cse1l
Lamb1
Med25
Fam32a
Dvl3
Glg1
Abhd17a
Grik5
Rabac1
Rps11
Ddr1
Zfp81
Fam162a
Rpl8
Dnmt1
Pax2
Atn1
Atp6v1f
Utp20
Aqp1
Pax3
Tmem242
Cstb
Wisp1
Man2b1
Prdx2
Polr2a
Corin
Nid1
Pafah1b3
Dnajb1
Evx1
Igf1r
Insr
Mef2c
Kit
Pan2
Psmb4
Rsl1d1
Trh
Ephb3
Osgep
Arpc2
Tmem147
Rps9
Fbln1
Gcat
Usp19
Cdc42
Acot13
Sulf2
Chrd
Khsrp
Ccdc124
Cct4
0610009B22Rik
Zmiz1
Arid1a
Rplp1
Snrpb2
Ubc
Prpf31
Arpc5
Rala
Vdac3
Bmp7
Dynll1
Tmem184b
Nav1
Srp14
Bcr
Sdhb
Rps25
Raver1
Nedd8
Mrpl52
Ebf3
Odc1
Git1
Scarf2
Med15
Rpl15
Rpa3
Phox2b
Rps5
Slc41a1
Iglon5
Aldh1a2
Cad
Atad1
Elof1
Cacybp
Ndufa2
Cox6c
Tsg101
Map3k4
Srp19
Csf1
Psmb1
Gata2
Edf1
Actn1
Abca1
Nipsnap3b
Sash1
Mocs2
Atp6v0e
Gata3
Hspa8
Psma2
Mrpl32
Capza2
Cnih1
Rxra
Dstn
Lbp
Celsr1
Atp5e
Slc25a5
Ndufa1
Plgrkt
Scube1
Mrps18c
Sulf1
Pigt
Slc12a7
Med13l
Erbb3
Uchl5
Psmb6
Spag7
Pcgf2
Gabarap
Glra2
Lhx1
Dync1h1
Rars
Ict1
Pelp1
Fis1
Plod1
Tmem160
Atp6v1e1
Map1s
Gdpd2
D8Ertd738e
Cops3
Ubb
D17Wsu104e
Sema6a
1110001J03Rik
Lyst
Hdac2
Utrn
Wasf1
Slc16a10
Lama4
Fabp7
Serinc1
Nts
Lama2
Zwint
Arid5b
Actr6
Stx7
Moxd1
Ndufa12
Rfx4
Mybpc1
Ppa1
Eif4ebp2
Unc5b
Lrig3
Srgap1
Meis1
Uqcr11
Tcf3
Yeats4
Grb10
Snrpd3
Csrp2
Cabin1
Phlda1
Col6a2
Hint1
Tpgs1
Mdh1
Flt4
Gnb2l1
Sar1b
Gabrg2
Drg1
Ccdc104
Aebp1
Supt4a
Bzw2
Tspan13
Fam49a
Dld
Ddx52
Rasl10b
Mrc2
Nf1
Psmd12
Hn1
Cluh
Txndc17
Rhbdf2
Prpf8
Hoxb9
Myh10
Ntn1
Kat2a
Scfd1
Npas3
Psma6
Tmx1
Actr10
Atp6v1d
Eif2s1
Vti1b
Zfp36l1
Smoc1
Mta1
Gtpbp4
Psmc1
Ccdc88c
Unc79
Tshz3
Vsx2
Esrrb
Ccnk
Hsp90aa1
Cdc42bpb
2010107E04Rik
Gli3
Tfap2a
Hivep1
Kif13a
Ly86
Ror2
Ptch1
Msx2
Txndc15
Cxcl14
1700001L19Rik
Cetn3
Ndufs6
Serf1
Ptcd2
Btf3
Iqgap2
Otp
Thbs4
Psmd6
BC067074
Ndufs4
Fam213a
Zswim8
Psmc6
Gm6768
Kpna3
Rnaseh2b
Mapk8
Gdf10
N6amt2
Wnt5a
Esd
Dnajc15
Sugt1
Pbk
Ccdc25
Stmn4
Bnip3l
Ebf2
Bmp1
Sucla2
Uchl3
Nipbl
Dab2
Dad1
Lrp10
Psmb5
Sub1
Npr3
Cct5
Skor1
Dcaf13
Eif3h
Matn2
Stk3
Eif3e
Kcnv1
Ndufb9
Mrpl13
Sla
Gtse1
Rbx1
Slc25a17
Enpp2
Tomm22
Cby1
Myh9
Ndufa6
Pmm1
Col2a1
Crebbp
Plec
Scrib
Lmf2
Cblb
Tagln3
Prkdc
Fopnl
Mpv17l
Boc
Nit2
Arhgap31
Mylk
Robo1
Adamts1
Psmg1
Dopey2
Clic6
Sod1
Scaf4
Wnt1
Tuba1b
Smarcd1
Cox14
Dip2b
Mospd1
Ndufa5
Rpp14
Bsg
Scg5
Nfatc4
Celsr3
Prph
Pigx
Igf2r
Acat2
Thbs2
Ubr2
Brd4
Ndufv3
Arhgap28
Wiz
Dpy30
Man2a1
Cyp1b1
Ndufv2
Prss41
Epas1
Cript
Rfx2
Uqcc2
Anks1
Svil
Cox7a2l
Polr2d
Slc25a46
Sap130
Syt4
Adamts10
H2-Ke2
Pfdn1
Epb4.1l4a
Prrc2a
Ap3s1
Yipf5
Tcerg1
Ppp2r2b
Sec11c
Grp
Lox
Cep192
Sall3
C330018D20Rik
Megf10
Fbn2
Rps14
Tcof1
Pdgfrb
Psat1
Cyb5
Incenp
Tmem2
Cdc42bpg
Atg2a
Rpp30
Tjp2
Pacs1
Cbwd1
Cpt1a
Mrpl11
Lrp5
Drap1
Rela
Plcb3
Prdx3
Plce1
Sorbs1
Slit1
Arl3
Fundc1
Btbd1
Bhlhe22
Fasn
Ndufb8
Lbx1
Gbf1
Hsd17b10
Huwe1
Flnb
Prdx4
Rps24
Rps26
Esyt1
Cnpy2
R3hdm2
Gli1
Msx3
Taldo1
Crcp
Gaa
Podxl
Rps6ka6
Gdap1
Itih5
Atp5c1
St8sia2
Rpl14
Cops5
Tfap2b
Ube2w
Tmem70
Idh1
Eef1b2
Nop58
Sumo1
Ndufb3
Col5a2
Col3a1
Pdcl3
Mrpl30
Asnsd1
Ormdl1
Tmem131
1110058L19Rik
Igfbp5
Fn1
Psmd1
Ptma
Farsb
Hdac4
Mki67ip
Dbi
Pik3c2b
Lamc1
Kif26b
Srp9
Dpt
Astn1
Ptpn14
Ddr2
Nuf2
Mgst3
Mrc1
Psmb7
Lypd6b
Col5a1
Lamc3
Psmd14
Notch1
Sec16a
Cybrd1
Lrp2
Timm10
Itgav
Phospho2
Ola1
Nop10
Ccdc34
Lin7c
B230118H07Rik
Eif3m
Sema6d
Fbn1
Cops2
Tspan18
Creb3l1
Lrp4
Lamp5
Jag1
Ndufaf5
Cst3
Pkia
Fabp5
Snx16
Psma7
Chrna4
Stmn3
1110008F13Rik
Ndufb5
Sec62
Dcun1d1
Serpini1
Notch2
Ints3
Col11a1
Lef1
Sfrp2
Plrg1
Aimp1
Apoa1bp
Rps3a1
Rprd2
Abca4
Adh5
Them4
Eif4e
Nfkb1
Rpf1
Tmem68
Rps20
Gtf2b
Smim8
Tnc
Txn1
Svep1
Bag1
Chmp5
Nol6
Ubap2
Nudt2
Cntfr
Clta
Ppap2b
Pum1
Scp2
Magoh
Col9a2
Ybx1
Ccdc23
Eif2b3
Prdx1
Akr1a1
Dmbx1
Cmpk1
Eif4g3
Zcchc17
Ccdc28b
Eif3i
Zfp362
Tmem50a
Psmb2
Trappc3
Map7d1
Wasf2
Psmc2
Rpl22
Ube4b
Casz1
Mtor
Tomm7
Orc5
Trp73
Ssu72
Rer1
Ski
Mrpl20
Sorcs2
Afap1
Rab28
Slc30a3
Ociad1
Spata18
Grpel1
Pdgfra
Paics
Tgfbr3
Aff1
Shroom3
Cct6a
Vps29
Arpc3
Ncor2
Dhx37
Ep400
Ulk1
Triap1
Ints1
Ube3b
Rpl6
Ccz1
Ndufa4
Polr1d
Pomp
Col1a2
Auts2
Ephb4
Dync1i1
Nt5c3
Svopl
Slc13a4
Zyx
Cct7
Adamts9
Lrig1
Mrpl53
Cnbp
Plxna1
Chchd6
A2m
Plxnd1
Emp1
Atf7ip
Wbp11
Strap
Ldhb
Cmas
Ccdc91
Cand2
D6Wsu163e
Fkbp4
Mark4
Nova2
Pop4
Herc2
Dbx1
Tjp1
Furin
Iqgap1
Sema4b
Nr2f2
Sipa1l3
Psmd8
Tmem126a
Ndufc2
Arl6ip1
Smg1
Xylt1
1110004F10Rik
Rps3
Nsmce1
Psma1
Lcmt1
Arhgap17
Disp1
Mettl9
Uqcrc2
Mki67
Tmem9b
St5
Ndufb11
Glrx3
Rab33a
Gpc4
Praf2
Ftsj1
Vbp1
Igbp1
Pbdc1
Cox7b
Hmgn5
Col4a6
Col4a5
Rps4x
Cetn2
Bgn
Hcfc1
Morf4l2
Psmd10
Gpr124
Col4a1
Col4a2
Gpm6a
Polb
Plat
Kat6a
Gins4
Tm2d2
Slit2
Tenm3
Sc4mol
Casp3
Slc25a4
Nkd1
Sall1
Vps35
Orc6
Itfg1
Rfx1
Gab1
Mmp2
Gpr56
Mmp15
Pgls
Mast3
Cdh5
Hsd11b2
Nip7
Ankrd49
Gabarapl2
Cfdp1
Bcar1
Tbx20
Dcun1d5
Pvrl1
Pts
Ddx25
Hyou1
Robo4
Robo3
Pin1
Smarca4
Kank2
Dock6
Myo1e
Cgnl1
Itga11
Idh3a
Tle3
Imp3
1700017B05Rik
Psma4
Stra6
Cox7a2
Loxl1
Neo1
Car12
Ppib
Igdcc3
Snapc5
Rpl4
Smad3
Copb2
Mrps22
Rpsa
Deb1
Cck
Ephb1
Pik3r4
Bsn
Thsd7a
Atxn2l
Syde1
Abtb2
Inppl1
Tpcn1
Gtf3c1
Lama1
Arhgef17
Hspa13
Sox10
Polr2f
Cdo1
Resp18
Gga1
Atp1a1
Ptprm
Ptprf
Lpp
Mif
Antxr1
Adamts15
Tmem35
Ndn
Lgi3
Cep350
Adra2a
Atp6v1h
