gene_name	Cell_type
Gap43	Astrocyte
Gfap	Astrocyte
Survivin	Astrocyte
Pink1	Astrocyte
Adcy3	Neuron
Calbindin	Neuron
Chat	Neuron
Fox3	Neuron
Dcx	Neuron
Gad1	Neuron
Gap43	Neuron
Ascl1	Neuron
L1	Neuron
Nefh	Neuron
Eno2	Neuron
Sort1	Neuron
Mapt	Neuron
Syp	Neuron
Th	Neuron
Olig1	Oligo
Olig2	Oligo
Caspr2	Oligo
Rtn4r	Oligo
Sox10	Oligo
Pdgfra	Oligo
Apc	Oligo
Galc	Oligo
Plp1	Oligo
Mbp	Oligo
Cnp	Oligo
O4	Oligo
Mog	Oligo
Ng2	Oligo
Aldh1l1	Astrocyte
S100b	Astrocyte
Fabp7	Astrocyte
Aif1	Microglia
