condition_A	condition_B
linc-Brn1a	WT
linc-Brn1b	WT
linc-Cox2	WT
Eldr	WT
linc-Enc1	WT
Manr	WT
Haunt	WT
Celrr	WT
Crnde	WT
Kantr	WT
Trp53cor	WT
Peril	WT
Tug1	WT
